content,author,author_comment,author_url,create_datetime,license
仄暗い朝四時の窓辺星ひとつ眠れぬぼくをやさしく見つめ,千陽,眠れずに朝を迎えてしまい、薄暗い窓辺に目を遣る。ひとつ輝く星が、眠れなかったぼくを優しく見つめてくれた。そんな朝四時の情景です。,https://x.com/Blue_Sky_SsViWe,2025/07/18 23:14:58,CC BY-NC-ND 4.0
空色のカーテンを開いて 太陽の輝きを感じられてる,加藤莉子,,https://x.com/windapple123,2025/07/18 23:20:30,CC BY-NC-ND 4.0
窓際の祖父がいじくるパンくずに鳩が寄る午後　もう来ない午後,井上紗希,,https://x.com/inouesaki_tanka,2025/07/18 23:21:36,CC BY-NC-ND 4.0
容易くは開かない窓も燃えやしない導火線もいとしき身体,別木れすり,,https://x.com/leslie_bekkie,2025/07/18 23:21:47,CC BY-NC-ND 4.0
病室のいつもの窓に響く音 ドクターヘリに乗る人思う,カズアキ,"先日まで手術のため入院していた病室の窓からいつもと変わらぬ朝の光景を見ていたところ爆音とともに近づくドクターヘリを見ました。
大半の人たちが変わらぬ日常を送ろうとしている中をドクターヘリに乗らざるを得なかった方、そのご家族、操縦士やスタッフ、そしてつい最近までは同じ朝を繰り返し迎えていた私が家ではなく病室で朝を迎えるようになったことを振り返りながら諸行無常を思いました。",https://x.com/mori_ichiyou,2025/07/18 23:30:08,CC BY-NC-ND 4.0
クーラーの冷気逃がさず窓を開け指の幅からハエを押し出す,新井宗彦,,https://x.com/mukadeyakata,2025/07/19 0:27:19,CC BY-NC-ND 4.0
ことばには できないきもち ゆびさきで ハートを窓に のこしてかえる,わたしはぼく,,https://x.com/wataboku4,2025/07/19 10:01:32,CC BY-NC-ND 4.0
窓は口　ときどき嘘を吐き出して曇りガラスの向こうに隠す,ﾎﾜｲﾄｱｽﾊﾟﾗ,,https://x.com/peak_0623,2025/07/19 0:41:19,CC BY-NC-ND 4.0
「「誓います」」開けっぴろげな想い持つ開かない窓ステンドグラス,河鹿,,https://x.com/kazika0124,2025/07/19 0:45:59,CC BY-NC-ND 4.0
はめられて殺された窓の無念すら弔う光　安らかであれ,yohei,,https://x.com/yohei59756876,2025/07/19 1:00:05,CC BY-NC-ND 4.0
窓を開けツンと差し込む透明な氷柱に触れる夜明けの空と,雨宮雨霧,,https://x.com/Amamiyaamaki,2025/07/19 1:24:40,CC BY-NC-ND 4.0
リビングの窓から見える空は青果てしなく青どこまでも青,北乃銀猫,夏の青空が美しいなあと思いながら、窓の外を眺めていたときの気持ちです。,https://x.com/Silbernekatze_,2025/07/19 2:04:29,CC BY-NC-ND 4.0
寝るまえのくもりガラスの窓越しに明日のような朝焼けがいる,田面木（たものき）,,https://x.com/Tamonokidesu,2025/07/19 2:22:45,CC BY-NC-ND 4.0
会いたいと打とうとしては削除する開くことのない窓を見上げて,玉婆,,https://x.com/tamabar,2025/07/19 2:23:09,CC BY-NC-ND 4.0
人生の試練幾つもよく通過した人だけに開く窓口,谷まのん,,https://x.com/tanimanon258x,2025/07/19 2:24:32,CC BY-NC-ND 4.0
天窓をゆがめる雨を眺めてる猫の頭上にLoading…の輪,亀田巧,,https://x.com/kamedatakumi,2025/07/19 2:25:28,CC BY-NC-ND 4.0
ひびわれを見つける水と人間をあつめるために開けておく窓,Sand Pawns,,https://x.com/alen_ires,2025/07/19 2:36:48,CC BY-NC-ND 4.0
なすすべもなく濡れそぼるカーテンが窓から恨めしそうにみている,青麦,雨の日に窓を閉め忘れていることに気がついたのは帰宅時で、すっかり雨が降りこんでいた。窓にかかった自分では動くことの出来ないカーテンのは物言いたげに私を見ているようだった。,https://x.com/aomugiterasu,2025/07/19 2:36:55,CC BY-NC-ND 4.0
君の期待や不安を見透かすように車窓は景色を見せつける,そんながいちゃおじさん,,https://x.com/a110105,2025/07/19 3:20:14,CC BY-NC-ND 4.0
光だけを通していた窓ガラスそれさえ今は風葬のあと,高菜嘘,光以外は何者も通すまいと意気込んでいた窓ガラス。家主は消え、何を守るために君はいるのか。長い時間をかけてゆっくりと劣化していく様子はまさに風葬のようだった。,https://x.com/deathpoemer,2025/07/19 3:23:05,CC BY-NC-ND 4.0
「お前だろ！窓ガラスまた砕いたの！」先生、俺は、もう粉々だ,沖田すいな,教室の窓ガラスを砕く非行少年は、何を想う。,https://x.com/okita_suina,2025/07/19 3:36:35,CC BY-NC-ND 4.0
閉ざされた窓に小石を投げあてて いずれ開かむと ただ時を待つ,本田武彦,,https://x.com/rosary702,2025/07/19 6:16:11,CC BY-NC-ND 4.0
ゆれるたび しめつけられる この心 窓の向こうに 描いた空は まぶしすぎる,舞雫-マイナ-,「窓」とイメージしたときに見えたのは少し開いた窓から風が入り、カーテンが揺れているイメージでした。切ない中に眩しい光を表現してみました。,https://x.com/myna_sing,2025/07/19 9:34:19,CC BY-NC-ND 4.0
水泳後 窓に映るあの情景が 絵画より美しく見え,ika,プールの授業後の何とも言えない疲労感がどこか心地いい事から連想しました。,https://x.com/nanimonaiyo222,2025/07/19 9:50:32,CC BY-NC-ND 4.0
窓のない部屋にポスター飾ったら気分はまるで海外旅行,松本桃英,外国の風景をとった写真のポスターを飾れば、どこにいても海外にいる気持ちになれると考えました。,https://x.com/a7bd00_97a61e_2,2025/07/19 9:50:38,CC BY-NC-ND 4.0
同窓会...同窓会 と呟いて しっくりこなくて 報せを棄てる,麻数,,https://x.com/umberhemp,2025/07/19 10:16:41,CC BY-NC-ND 4.0
シトラスの庭の窓から乗り出して夏を今から捕まえに行く,こんなところにエビチリ,,https://x.com/konna_ebichiri,2025/07/19 10:29:45,CC BY-NC-ND 4.0
ブラウザはかつては「窓」と呼ばれててここから世界に繋がる、唯一の,さとうきいろ,,https://x.com/sugar_section,2025/07/19 10:54:36,CC BY-NC-ND 4.0
話さずにいればよかった今夜だけ窓から見える宵の明星,大賀ミシン,,https://x.com/MishinOga,2025/07/19 11:25:16,CC BY-NC-ND 4.0
もうなくない？ 新居に置くもの探してた あとは 窓拭きロボットじゃない？,じょうさん,"彼との新生活に向けて、いろいろな家具家電を揃えていきました。だけどもう揃いすぎてしまい、必要なものが見つかりません。
彼は｢窓拭きロボットじゃない？｣と言いました。
正直あまり必要ないところが、面白かったんです。",https://x.com/motosetugekka,2025/07/19 11:33:35,CC BY-NC-ND 4.0
真夜中のトイレ窓から覗く顔 開けてキスでもしてやろうかしら,ダニ杉,,https://x.com/DB65166,2025/07/19 12:19:59,CC BY-NC-ND 4.0
ふと窓を開けて吸い込む新鮮な空気で心に通るそよ風,さちともこ,どうにも最近、調子が悪いなーってときは深呼吸したり、部屋の窓を開けて風通りを良くしたりします。窓を開けて深呼吸すると気持ちもなんだかスッキリすると思ってこの短歌を作りました。,https://x.com/wish_on_the_sun,2025/07/19 12:35:27,CC BY-NC-ND 4.0
この窓は開けておきます旅をする風が束の間休めるように,知久,窓を開けて風を入れる様子を詠みました。,https://x.com/Chiku_tanka,2025/07/19 12:44:22,CC BY-NC-ND 4.0
車窓から見える景色がだんだんと緑を脱いで さらば故郷,わたこ,,https://x.com/watako520,2025/07/19 12:47:10,CC BY-NC-ND 4.0
もう何も憂いはなかったはずなのに心の窓の鍵が開かない,春永睦月,,https://x.com/HarunagaMutsuki,2025/07/19 14:08:44,CC BY-NC-ND 4.0
雨の夜を飛ばす車の窓に散る飛沫の赤に見る死の幻,He lock key.,フロントガラスに散った水滴に前の車のテールランプの光がにじみ、血しぶきのようになっているさまを詠みました。,https://x.com/huGaku17,2025/07/19 14:39:46,CC BY-NC-ND 4.0
義実家行く時の車の窓には面倒くさい顔が張りついて全然剥がれない,フラ子,義実家へ行った時の心境を詠みました。,https://x.com/FyOj742,2025/07/19 14:43:13,CC BY-NC-ND 4.0
この窓は　空を遮る　布もない けれど飛び立つことは　許さぬ鳥籠,芍　凝月,"現代の精神科の閉鎖病院には、鉄格子のはまった窓はほぼありません。しかし窓ならセットで付いてくる“あるもの”がない。
それはカーテン。
なぜなら首吊りに使えてしまうから。

カーテンのない窓は、一見自由な空を見せますが、患者を本当の意味では自由にさせないようにしているのです。",https://x.com/Shao_Ning_Yue,2025/07/19 15:43:34,CC BY-NC-ND 4.0
家々の　数だけ灯る 窓の灯が　幸せという 輪郭かたどる,影絵草子,窓をそのままストレートに短歌にしました。,https://x.com/mashingankaidan,2025/07/19 15:49:02,CC BY-NC-ND 4.0
開かない窓ほど開けたい、この性は。ガラス1枚すら嫌なのだ,イノセントスキー,"窓は現代では基本、ガラス窓が一般的と思います。屋内から外の景色がしっかり見える。
夜はカーテンで遮ればいい。
そんなガラス窓をイメージしました。たまに窓から見える景色をガラスを通したくなくて窓を開けて眺めたい時があります。
ほぼ変わりませんが、その微細な違いを私は感じてるよってアピールしたくて書きました。",https://x.com/250330muzyaki,2025/07/19 15:51:07,CC BY-NC-ND 4.0
沈黙が訪れるたびくっきりと浮かび上がった車窓の眺め,茶葉,,https://x.com/chaba_tea1,2025/07/19 16:02:44,CC BY-NC-ND 4.0
大切なことはひとりで決めるのね、振られたあとの窓は特注,はるかぜ,,https://x.com/spring_bird_gr,2025/07/19 16:32:00,CC BY-NC-ND 4.0
あの窓の数だけ暮らしと苦しみがあるということ目眩と吐き気,仙田てん,,https://x.com/TEN_57577,2025/07/19 16:37:37,CC BY-NC-ND 4.0
れいぞうこ開けたむこうが青空で窓だったんだ忘れてたよね,きいろい,,https://x.com/kiroi_iorik,2025/07/19 16:44:22,CC BY-NC-ND 4.0
宿の窓の外の知らない街の夜を見るためにする自分とのキス,桜花結,夜の窓の外を見るために顔を近づけることを、自分とのキスに例え、宿泊先の外の景色をみる行為が特別であることを詠みました。,https://x.com/reeding_poetry,2025/07/19 16:47:00,CC BY-NC-ND 4.0
一心に窓磨く人真昼間にまるで入道雲の輪郭,インアン,,https://x.com/inan_erotica,2025/07/19 16:49:04,CC BY-NC-ND 4.0
動かない死体のように暮らす日々窓の向こうを恐れて焦がれ,左馬　要,うつ病が悪化した半年間、体も頭も動かない時は窓を見る事しかできませんでした。,https://x.com/samayou_tanka,2025/07/19 16:49:23,CC BY-NC-ND 4.0
E席の窓から望む富士山は 吾等のせわしさよそに鎮座す,よいしょ上手の高木さん,帰省のために新幹線に乗り、富士山が見えると嬉しくなります。,https://x.com/Precure_Yoisho,2025/07/19 17:49:11,CC BY-NC-ND 4.0
お祭りはいつも知らない場所である部屋の窓から花火が見えない,汐留ライス,,https://x.com/RCodome,2025/07/19 17:48:58,CC BY-NC-ND 4.0
俺という 家の中から 目を窓に 世界を覗く お前は誰だ,やまの恵多,,https://x.com/bosobosoreading,2025/07/19 18:12:54,CC BY-NC-ND 4.0
近いのにすぐそこなのに窓ガラス越しに話してるそういう遠さ,Umi.,,https://x.com/Umi1146295,2025/07/19 18:13:31,CC BY-NC-ND 4.0
