theme,judge,x_url,result_url
透明,ぷくぷく,https://x.com/pukupuku2020,https://note.com/pukupuku2020/n/n6197c8148579
指先,坊　真由美,https://x.com/PentasStar,https://ameblo.jp/pentasstar/entry-12904206249.html
恋の短歌,toron*,https://x.com/toron0503,https://note.com/toron0503/n/ne844a0d2977f
傷,熊谷　友紀子,https://x.com/kumagai____,https://note.com/watering_bird/n/ncd737bb9bc87
自転車,橙田千尋,https://x.com/komekokakari,https://komugikokomeko.hatenablog.com/entry/2025/06/08/200000
肉,土居 文恵,https://x.com/DoiFumie,https://jisedaitanka.theletter.jp/posts/08d0fa00-4004-11f0-97dc-d7e4f46b1faa
抱く,汐見りら,https://x.com/sio3rira,https://note.com/0m0idase/n/na8c965038dc8
自由詠,石村まい,https://x.com/mai_tanka,https://note.com/mai_ishimura/n/ndb4aabc062eb
SNS,揺川たまき,https://x.com/873so2ara4no28,https://note.com/h_tamaki/n/n92069f06b1cd
嘘,澄田広枝,https://x.com/hunwarihirorin,https://yururatanka.hatenablog.com/
家族の短歌,友常甘酢,https://x.com/azukicreamcup,https://note.com/amazu/n/ncbd8069d19ed
ペット目線の短歌,森本有,https://x.com/forest_book_san,https://note.com/yumorimoto/n/n853ed921169f
海,石田犀,https://x.com/sai_tanka,https://note.com/sai_tanka/n/n3ac05ebf22f7
もてあそぶ、もてあそばれる,森山緋紗,https://x.com/MoriyamaHisa,https://note.com/moriyamahisa/n/n6530730df454
迷子,近藤由宇,https://x.com/forsensitiveppl,https://note.com/anata_tanka/n/na01a0324fbe5
泡,布野割歩(ほのふわり),https://x.com/Honofuwari,https://drive.google.com/file/d/1bUHQanxe-0gKsASKpZDZ-moZ9tISRvcA/view
魚偏の漢字を使った短歌,蒼井杏,https://x.com/aoianaoian,https://note.com/aoianaoian/n/nb0566872d926
