content,author_comment,editor_memo,create_datetime,author_url,author,license
ずぶ濡れで歩いていくよこの傘は一人で差すには大きいからね,,,"May 29, 2025 8:04 pm",https://twitter.com/HarunagaMutsuki,春永睦月,CC BY-NC-ND 4.0
「しあわせになることこそが復讐だ」などと言うけどなどと言うから,,,"Jun 15, 2025 1:21 pm",https://twitter.com/moonnight_rain,月夜の雨,CC BY-NC-ND 4.0
ほんものがない火星では密造の海がひそかに出回るという,,,"May 31, 2025 9:51 pm",https://twitter.com/maomurataxyz,村田真央,CC BY-NC-ND 4.0
紀伊國屋書店2階で待ち合わせ歩速ゆるめて文庫の森へ,,,"May 30, 2025 1:54 am",https://twitter.com/blue_navy_color,青色紺色,CC BY-NC-ND 4.0
青空にニセアカシアが揺れているお前の明日はそこにあるよと,,,"May 29, 2025 8:02 pm",https://twitter.com/HarunagaMutsuki,春永睦月,CC BY-NC-ND 4.0
眠れない夜に一匹どうですか温もりだけの透明な猫,,,"Jun 15, 2025 11:31 pm",https://twitter.com/swan88888888,白鳥,CC BY-NC-ND 4.0
傘立てにふたつ寄せれば応へざることばを互ひにそつとしまへり,,,"Jun 2, 2025 11:03 pm",https://twitter.com/Yatayosikazu101,箭田儀一,CC BY-NC-ND 4.0
ふるさとの訛りで笑ふ介護士が月の出までは隣にをりぬ,,,"Jun 2, 2025 11:04 pm",https://twitter.com/Yatayosikazu101,箭田儀一,CC BY-NC-ND 4.0
ほしあかりを摘みつつ歌う ひあぶりにふさわしい呼吸にはまだ足りない,,,"Jun 1, 2025 10:20 pm",https://twitter.com/sonohi_1nichi,えふぇ,CC BY-NC-ND 4.0
断りもなく触れていたぬくもりもきっと手放す、呼吸のように,,,"Jun 2, 2025 8:31 am",https://twitter.com/HikaruTsukikage,月影晃,CC BY-NC-ND 4.0
ひと通り戯れたあと差し出した餌付けみたいな酒と鯖缶,鯖缶から連想したストーリーを詠んでみました,,"Jun 6, 2025 12:33 am",https://twitter.com/tyrannos818181,さに。,CC BY-NC-ND 4.0
フリスクをしゃかしゃかくれる先輩はそれで組織をよくしたつもり,,,"May 30, 2025 8:42 pm",https://twitter.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
ふうわりと見つめてひらく芍薬よ　抱擁　それはどうしても恋,もう、どうしても恋なんです。,,"Jun 3, 2025 3:03 pm",https://twitter.com/Ns4HhpKEzA10870,サ行,CC BY-NC-ND 4.0
法的にアウトな男ほど爪を綺麗に整えていたりする,,,"Jun 2, 2025 2:44 pm",https://twitter.com/cotori_rin,琴里梨央,CC BY-NC-ND 4.0
雨の日の車の音は少しだけ波打ち際を含む気がする,,,"Jun 1, 2025 8:18 am",https://twitter.com/mintozuku,辰野音子,CC BY-NC-ND 4.0
真っ白なキャンバスに色重ねては黒に近付く心の深く,,,"May 31, 2025 12:16 pm",https://twitter.com/Amamiyaamaki,雨宮雨霧,CC BY-NC-ND 4.0
