content,title,author_comment,eiso_count,editor_memo,create_datetime,author_url,author,license
"まっさらな海をめぐらせ立ちすくむ満ち満ちていたかつての海を
駐車場撒かれた砂利に混じる海　石灰岩に眠るウミユリ
お宝がガチャガチャで出る百円を二枚回して　コパルアンバー
確率の話は苦手　されたなら遠い浪漫に置き換えて聞く
サリサリと円を描いて整える舞う欠片にも歴史は宿る
生きていることも若さも億年の歴史の前の異なる定義
半化石《はんかせき》自我が残るとまだ脆く崩れるというまだ生きている
手を掛けることはかなしい宝石となって失《う》せゆく輝きもある
水が染《し》み光とろける#1000《せんばん》で磨くコパルのなめらかな角《かど》
残るなら右の槌骨《つちこつ》ことごとくあまねく音を留《とど》めた骨を
fossilの音の響きは年老いて風にまぎれて消えそうで好き
震えずに届かなかった声を聴く　すべてのものは消えずに残る
こうやって選んできたの　気付かれず眠り続けることになっても
この先で化石となったそのときは琥珀の集《つど》う岸に鳴らして",fossil,#1000はサンドペーパーの番手を指します。,14,,"Jul 6, 2025 10:02 pm",https://x.com/tenran_harugiri,せんぱい,CC BY-NC-ND 4.0
"真夏日のたびに記憶がひと夏ずつ消されてしまう魔法にかかる
忘れても差し支えない夏があるたとえばバイトだけの夏とか
最後まで残してほしい夏があるせつなくないし美しくない
人生でいちばんバカが旬だった二十二度目の夏が恋しい
解呪されなくてもいいよ忘れていい夏さえ来れば夏さえ来れば
生きている限り必ずｎ＋１《えぬぷらすいち》になるから　君が恋しい",ｎ度目の夏へ,夏が好きなので、思い出の夏を概念的にまとめて連作にしてみました。連作はとても苦手なのですが、最近、少し楽しく作れるようになってきました。,6,,"Jul 5, 2025 4:30 pm",https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
"口紅のにほひが残るカップにも君がふれたと思へばせつな

午後の四時きみのくちびる雨ににじんでこうしてはいけないと知る

くだらないことばかりだと笑い合い夜がどこまで続くのだらう

この場所に君がいるつてことだけで有る気がしたんだ未来つてやつ

ぎりぎりでまだ手放さぬ指さきのぬくもりだけがわたしの春よ",夜は続く,,5,,"Jun 30, 2025 3:48 pm",https://x.com/azumino_marco,あづみのマルコ,CC BY-NC-ND 4.0
"コンカフェ嬢に手を振り返す夜の街歩きコンサルティング界隈
おしとやか　部屋は片付いてるはずで大きめの本棚があるはずで
狂おうと思えば狂え楽になれ君と101回のワンチャン
ペディキュアのベースコートが乾くまで舐めてて　割に合わないトライ
可愛い子が隣で笑っているという嬉しさ　お前にとってのキモさ
沈黙は金、雄弁は銀　お見事　弾かれましたプラチナカード
「あ、赤だ」信号の五歩前に言ったねタクシー拾うまで待ってあげる
足蹴にされてたおじさんチャリで逃げ去り足蹴にしてたおじさん　生きてく",night lie lady,"101匹ワンちゃんは見た記憶がありません。
クルエラという悪役が出てくることを知っています。
101回目のプロポーズも見たことがありません。
武田鉄矢が主演であることを知っています。僕は死にましぇん。

ChatGPTにはひたすらほめちぎってもらいました。",8,,"Jun 24, 2025 10:34 pm",https://x.com/electric_myself,丘図図,CC BY-NC-ND 4.0
"そうなったまでの過程は知らないが電子レンジの中にセミがいる
洗濯機回せばすぐに乾くので明日でいいやとまた先延ばし
エアコンが壊れて煮える熱帯夜麦茶もずっと熱いままだし
当事者じゃなくなったからテレビ見て高校球児を応援できる
スーパーのでかいスイカが安いとき冷蔵庫の大きさを忘れる
コンビニで冷たいお茶を買ってきてほこりをかぶるジューサーミキサー
扇風機アアアわたしは宇宙人アアアわたしの帰る星はどこ
十年はもつと言われたLEDわたしにはあと何回の夏",夏物家電,奇数の歌は過去作です,8,,"Jul 1, 2025 1:09 am",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
"七色に入れなかった色たちで開くないしょのにじ会がある
あいまいなことばっかりの世の中で空は確かに私に青い
恋をして恋をしてまたはらわたがことばがぜんぶ獣のようだ
なんとなく世間が認めた性愛を羨みながら今日も絵を踏む
穢れずに生きる決意もないままに好んで着てる白いTシャツ
戯言のような誓いをして友が銀色の輪を指に嵌めゆく
辞めるのはいつでもできてどこまでが私なのかが分からないだけ
青薔薇をいつか一輪もらう日に世界はぜんぶ色づくでしょう
いえ、ずっと愛の話をしています 「まだ降ってる？」と尋ねた夜も",Color of heart,,9,,"Jul 6, 2025 1:50 pm",https://x.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
"ハビタブルゾーン恋に理由などなかったセーラー服の三年

文集に君の字を見つけるだけで幸せだったと言えば安い恋

君のこと思えば美しい歌ができそうなのにそうはならない

恋であり愛になれないままだったセーラー服のお葬式する

また夏が来てめぐり来る感傷をそっと抱擁する風のように

星の欠片でできているという僕来世は彗星になってみたい",水の惑星/セーラー服追悼,,6,,"Jun 29, 2025 2:26 pm",https://x.com/caffe_kuzu,穀物,CC BY-NC-ND 4.0
"今駆けて行くからどうか間に合って　空は塔　いつかの罪の雷の
みんなその廃墟の感情を思って石から生まれてきた言葉
適当に破った紙を手渡せばパズルって言う暴力のこと
またねって祈りだろうか　反射する砂利だけ白い夏の手前で
ただ一度だけの歯並び光らせて並んで話す友達だった
青銅のような横顔忘れない　生きているって抗う事だよ
うぶすなの星のこどもの指切りでまた会う約束をしましょう
天窓は嵌め殺されて　うつくしく通り過ぎるだけの空色",After Babel,,8,,"Jul 7, 2025 3:47 pm",https://x.com/nagikawase,川瀬十萠子,CC BY-NC-ND 4.0
"パーカーのひもが踏んでるステップを真似して踊るとこがかわいい
パッと咲くバイオレットの花たちが切り取っていく記憶の中に
友だちでしかないきみにパリパリと剥がされていく私の温度
パーフェクト、パフェ、パートナー、パラダイス パが破裂して引いていく波
目の前を歩く女の鞄からアパの社長がこっちを見てる",パ,,5,,"Jul 6, 2025 12:18 pm",https://x.com/teto_starlight,てと,CC BY-NC-ND 4.0
"青空が天啓みたいに降り注ぎ人はルールを守っても死ぬ
逆光で撮った写真は表情がわからないからデリート出来ない
退屈を塗り潰す様な労働で悩む暇すらなくなっていく
カーテンを買うのが面倒くさくなり、生成りの布をぶら下げている
青春は大学時代で打ち止めで今は何色の季節でもない
正解があるわけないけどジャージってどう着こなして良いかわからん
パラレルな世界の私は床の上からずっと動けぬままに戦争
そうやって麦茶は麦茶然として宇宙の果てでも麦茶はおいしい",正解があるわけない,,8,,"Jul 1, 2025 3:35 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
