content,title,author_comment,eiso_count,editor_memo,create_datetime,author_url,author,license
"くちづけのあとの静けさ緑さすひかりをまとふきみの香りは
いにしへの星のひかりを呼びよせて婚約指輪にいのち吹きこむ
約束は天《あめ》なる河をめぐりゆき今かへり来む紅《べに》さすゆびへと",星合ひ,,3,,"Jul 3, 2025 10:59 pm",https://x.com/hane_ao22,碧乃そら,CC BY-NC-ND 4.0
"人間を見慣れた羊がのほほんとお出迎えするキルカーン城
1502年の水彩画として生きる『野うさぎ』の毛はぽわぽわである
占いの結果は「孤高の狼」で人付き合いも勿論苦手",ヒトは生き物,,3,,"Jul 1, 2025 4:03 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
"親父にもガンダム世代は打たれないモビルスーツの性能なのだ

チェンソーでぶった斬るのは政治屋さゲルの手足も委員長の道程も

俺の背にシュレディンガー微分式猫も量子なら糞も量子か",フラストレーション,過去詩ですが、ガンダムジークアクス最強でしたね。チェンソーマンの映画ももうすぐ、まだ死ねません爆,3,,"Jul 7, 2025 5:28 pm",https://x.com/gogoyubari39,へちゃ,CC BY-NC-ND 4.0
"絶叫の内の想いを取り出さんとすればするほど増える傷痕

数々の目を輝かせる教材の裏で溶けゆく我の札束

専門という名の武器を携えて黒板チョークに背を向け続け",それでも天職,,3,,"Jun 28, 2025 10:28 pm",https://x.com/short_poem0505,あだむ,CC BY-NC-ND 4.0
"根も葉もない噂の栄養分として君の心が搾取されてる

青痣のあおさやさしさ　これ以上愛を歌わなくていいんだよ　

みずうみをつくり君への心ない言葉はすべて泡にしてやる",みずうみをつくる,きみがたった一度だけ犯した過ちを、いつまでも過剰に責め立て、必要以上にきみを傷つけるこの社会から、きみを守りたいと思い、私はみずうみを作ろうと思いました。,3,,"Jul 6, 2025 2:41 am",https://x.com/aoi_up20,あをい,CC BY-NC-ND 4.0
"大丈夫　波はいつか静寂へと姿を変える、生き延びられる
抉れても私が受けた傷なんて息を止めていればおさまる
「なんて、なんて」息を止めてるうちにもう酸素は尽きた、死んだまま生きる",足りない息のごまかし方,,3,,"Jun 29, 2025 2:01 pm",https://x.com/leslie_bekkie,別木れすり,CC BY-NC-ND 4.0
"空き缶になれば良かった　拒まれた日の翌朝の川縁をゆく

からっぽを埋める水とか小魚のコロニー　そこに意志がなくても

満たされることをよろこぶ素直さを受け容れて、手放せば　いつしか",素直な容れ物,,3,,"Jun 30, 2025 4:04 pm",https://x.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
"会いたいと言えば雫がこぼれそう晴れが想像できない曇り
大雨で流れてしまう栄養も汚れもある、と大人になれた
すがるから手がつらくなる降りてみて忘れてもいい「かつて」や「いつか」",DROP,,3,,"Jul 7, 2025 11:58 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
"Every bee is a minority 威嚇音やさしく響いてるシャングリラ
サナギから羽化するように悶えつつ美しく残したいしがらみ
来世では食物連鎖の中にいて誰も私を責めたりしない",しがら・む【柵む】［動マ四］,,3,,"Jul 3, 2025 7:21 pm",https://x.com/inan_erotica,インアン,CC BY-NC-ND 4.0
"メドゥーサの哀しみ受けて生まれおるペガソスのごと星を辿りて
母想い剣振り下ろすペルセウス　怪物ならば殺してもよい
メドゥーサの赤き血潮は海に落ち、珊瑚となりて美を取り戻し",英雄と怪物,,3,,"Jun 29, 2025 10:55 pm",https://x.com/tanankatoru,田仲トオル,CC BY-NC-ND 4.0
"踏んだのか踏まれたのかは分からない 重なっている道端の草
太陽を向いて椿はまびかれた命のことは知らないでいる
木であったモノに囲まれ人間は生きろと言われ生きねばならない",そうして人間は,,3,,"Jul 6, 2025 12:13 pm",https://x.com/teto_starlight,てと,CC BY-NC-ND 4.0
"夏が来たコンコースには学校のプールのにおい青がまぶしい
空を踏むサンダルの足濡れている頭の上の青より近く
僕らって「現在《いま》」をおぼえてられるかなみずみずしくて青くさい日々",青の器,「青」と「夏」をテーマにしました。3首目は過去作です。,3,,"Jul 6, 2025 8:00 pm",https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
"すっかりと泣いてしまった夜を超え からと乾いた器を戻す

割れたのはパンの祭りの皿だった終わった恋の破片が光る

それは傷 でも丁寧に手入れするこころに創る切子の硝子",器の手入れ,,3,,"Jun 30, 2025 5:51 pm",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
"畳んでも畳んでもまだ次がある行軍の果て希望は何処だ
逃がすまじ脱走兵に厳罰を右の靴下懲罰房へ
少しなら泣いてもいいか乾太くん　走行音と呻きは似ている",洗濯行進曲,,3,,"Jul 1, 2025 9:20 am",https://x.com/TEN_57577,てん,CC BY-NC-ND 4.0
"毛繕いお上手ですねでもですねそろそろ私の顎がなくなる
冷房はお嫌いでしたね下僕めがお布団かけて差し上げますから
もうこんな時間ですよ寝ましょうのにゃーだったのでおやすみなさい",ねこのお世話屋さん,,3,,"Jun 29, 2025 12:32 pm",https://x.com/obi_wankeno_obi,帯,CC BY-NC-ND 4.0
"慣れたもの玩具もやらず時を待つ赤子のような君の不機嫌
コントローラー握ったままに舟を漕ぐ　おつかれさま、もう寝よっか
退屈と背中合わせの平穏を押し花にする長くかかるね",つづく暮らし,初めての投稿です。よろしくお願いいたします。,3,,"Jul 6, 2025 7:52 pm",https://x.com/umefufum,梅ふふむ,CC BY-NC-ND 4.0
"どこまでが今日なのだろう ケータイの充電はあと１０パーセント
どこまでが空なのだろう ドーナツをかじれば消えてなくなった穴
どこまでが僕なのだろう コラボしたキャラが書かれたポカリスエット",どこまでが,,3,,"Jul 6, 2025 12:15 pm",https://x.com/teto_starlight,てと,CC BY-NC-ND 4.0
"じゃあ君を埋めた処に紫陽花が咲いたらどんな色になるかな

死に方に拘る人を嘲笑うように蔓延る梅雨の紫陽花

花びらとなって消えゆくアナタへと何故かもわからず手を伸ばした",紫陽花秘境殺人事件,,3,,"Jul 6, 2025 9:09 pm",https://x.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
"老人が夕陽のふくらはぎで漕ぐ、もうアシストを止めた自転車
原色が溢れる夏を避けながら彩度が落ちた町を歩いた
あの時の百万円があったなら、このお刺身は迷わず買えた",日暮し,,3,,"Jun 29, 2025 10:47 pm",https://x.com/mouse_not_mouth,ねずみ,CC BY-NC-ND 4.0
"ヘルプミー！　この世に誕生しましたが、両親の望む子どもになれない
生まれたくて生まれてきたんじゃないんだと伝えられないままの距離感
もどかしく生きる日々とは、誕生日に少し遠回りをして帰る",愛でたい誕生日,,3,,"Jul 1, 2025 3:54 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
"はりぼてのトマト片手に街をゆくゆけどもゆけども孤独のすきま
つかまったポンデリングがちぎれるまでの瞬間を至福と呼んで
べからざるのみを抱き寄せ浮かびゆく浸透圧とかわからないまま",モノクロのビュッフェ,,3,,"Jul 1, 2025 7:58 pm",https://x.com/hyellypan,留留留,CC BY-NC-ND 4.0
"われわれの魂に触るる人の声その詠ずるは祈りのやうに
息をするさへも躊躇ふ葡萄酒のごとき言葉に包まれしとき
聖なる夜そと放たるる詩にみなの吐息がとけてゆるやかに消ゆる",朗読会,,3,,"Jun 30, 2025 5:00 am",https://x.com/aoi22light,瑞乃ゆみ,CC BY-NC-ND 4.0
"羊の皮 かぶってあなたに 食べられて
じわりじわじわ 侵食してくの

きっとずっと あくびをしてて 同じシーン 繰り返しみてる 無声映画

風が通る なにもない午後 ひとりきり
光の影と クラゲのカーテン",なにもない午後,,3,,"Jun 29, 2025 7:30 am",https://x.com/jg_asatsuki,麻月,CC BY-NC-ND 4.0
"薔薇騎士のあなたのうなじから香る紅いいのちを計りかねてる
耳飾りゆらすたびごと揺れている白い薔薇にも嘘のかおりが
虹彩はひかりを放つサファイアで百舌鳥の瞳のおくには花野",薔薇園,,3,,"Jul 8, 2025 12:56 am",https://x.com/Loswell612,白川楼瑠,CC BY-NC-ND 4.0
"シナリオもできてないのに声優と発売日だけもう決まってる
えらい人の思いつきで膨らむ工数もはやおまえが悪役令嬢
納品が全部終わったすぐ後に信じられない誤字が見つかる",クロックワーク,,3,,"Jul 2, 2025 10:52 pm",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
"冷房に冷えた身体を包み込む熱気のこもる廊下の夕日
階段を駆け下りながらどう声を掛けるか悩み昇降口へ
手を振って居場所を知らす姿すら心を乱し胸に抱きつく",青い夏,,3,,"Jul 5, 2025 6:12 pm",https://x.com/Amamiyaamaki,雨宮雨霧,CC BY-NC-ND 4.0
