content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
ベランダで音だけを聞く河原には本物を見るたくさんの人,,,,"Aug 2, 2025 10:56 pm",https://x.com/okanocoelacanth,みぎひと,CC BY-NC-ND 4.0
儚さにどこかで酔っているようなあざとさがある線香花火,,,,"Jul 29, 2025 10:49 pm",https://x.com/takekeke00,スーパーはるる,CC BY-NC-ND 4.0
指先で夜空のラメを掬いとり瞼の中にそっと咲かせる,,,,"Jul 30, 2025 9:01 pm",https://x.com/shizimi_noko,吉葉うちの,CC BY-NC-ND 4.0
私たちの終わりが来たと気付いた今日　花火が散った変な匂いだ,今はまだ手を繋いで花火をみているのに私だけが予感してしまう　この恋は終わりなんだ,,,"Aug 4, 2025 8:40 am",https://x.com/switchon_frt,夜凪のろ,CC BY-NC-ND 4.0
火をつけたとたんにはなたれる夏の終わりの終わりの終わりの終わり,,,,"Jul 30, 2025 12:49 am",https://x.com/takekeke00,スーパーはるる,CC BY-NC-ND 4.0
散り際を褒められるためだけに打ち上がるなんておまえは俺か,,,,"Aug 2, 2025 1:04 pm",https://x.com/peak_0623,ホワイトアスパラ,CC BY-NC-ND 4.0
できるだけ手広く種を残そうとしてるみたいに花火咲くなよ,,,,"Aug 4, 2025 12:24 am",https://x.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
その刹那 彩火の糸が 織りなして艶《あで》やかに咲く 夜だけの花,ほんの一瞬に、華やかに輝いては消えていく美しくも儚げな夜空の花火を思って詠んでみました。,,,"Jul 27, 2025 6:51 pm",https://x.com/okusama_kaguya,おのゝおくさま,CC BY-NC-ND 4.0
一瞬で花火に紛れられるから浴衣の色は紺がよかった,,,,"Aug 1, 2025 5:48 pm",https://x.com/sinachiku_no_yo,萎竹,CC BY-NC-ND 4.0
君と見たあの花火を束にして今も抱えたまま眠ってる,,,,"Jul 31, 2025 5:20 pm",https://x.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
ぱっぱっと光の松葉散り落ちて線香花火の生命は儚い,,,,"Aug 1, 2025 11:08 pm",https://x.com/kazeki_mori,森風輝,CC BY-NC-ND 4.0
咲き誇れ花火　世界は有限でいつかあなたを許すのだから,一瞬一瞬を大切に後悔なく。ただ願っている,,,"Aug 1, 2025 9:03 pm",https://x.com/modern_illust,modern,CC BY-NC-ND 4.0
