content,title,author_comment,eiso_count,editor_memo,dummy,create_datetime,author_url,author,license
"暑いねが暑かったねに変わるのももうじき空が透き通ってきた
夏仕舞いはじめないとねビーサンもハーフパンツも濡れた想いも
し残したことはないかな振り返り思い出すのは青と笑顔と",ヒトナツ,夏の終わりって、どうしてせつなくなるんでしょうね。いくつになっても感じる夏の終わりを詠みました。そうです、いくつになっても、です。夏の終わりには若かりし頃に戻る魔法が掛けられます。,3,,,"Aug 30, 2025 1:35 am",https://twitter.com/Silbernekatze_,北乃銀猫,
"空腹をうずめるために切りひらくケーキの山を分ける宴席
きんいろの液体のどにはじけては囁くように　しゅくふく　しゅくふく
イッヒビンアイネブルーメ花束を受ける覚悟をいつも持ちたい",祝宴,,3,,,"Aug 25, 2025 12:01 am",https://twitter.com/sinachiku_no_yo,萎竹,
"ぼつぼつと銃創のような雨跡が夏のおわりを塗りつぶしてく
居心地は自分次第と言う人を後ろから撃て日傘をたてに
いつまでも魚でいいと逃げ水を捕まえにいく９月になれば",夏とおわり,,3,,,"Sep 3, 2025 5:15 pm",https://twitter.com/tanankatoru,田仲トオル,
"爆速の自転車籠で弾ませたEASTBOYの自由の女神
放課後にスカートを折る先輩はまぶしくいつも先輩だった
失敗をゆるされていてまだわたしこどもなんだと思いたくなる",こども以上おとな未満,,3,,,"Aug 25, 2025 12:05 am",https://twitter.com/sinachiku_no_yo,萎竹,
"楽園を追われても怖くなかった　君とならばどこでもよかった
世界などいつでもリセットできる　ノアのつがいは私ではなくて
婚活も妊活もやめたの　妻にも母にも何にもなれないマリア",エデン解体,,3,,,"Sep 8, 2025 10:38 pm",https://twitter.com/nina_minaduki27,水無月ニナ,
"母親の足にいきなり頬擦りし怒られている国宝娘

血はないし芸もないけどよかったねサラリーマンの子は震えない

ほんとうは短歌が憎くて仕方ない、でもそれでいいの、それでもやるの",国宝？,,3,,,"Sep 5, 2025 11:24 pm",https://twitter.com/takekeke00,スーパーはるる,
"人心を掌握せしもの　師弟愛　蟹の裏側　卵炒飯
からまわる蟹への気持ちを宥めつつ湿度の高い夜から逃げる
メビウスの輪を渡る蟹ポリフォニー　バッハが捧げた音楽の蟹",そして廻る蟹,,3,,,"Aug 15, 2025 8:35 pm",https://twitter.com/osorakukajin,奈路 侃,
"堕ちきれず楽園に半身残してる半と半合わせて裏表

その身には種など必要無かったから中空のアンドロギュノス

このまま二人溶け混じりあえば形状なんてどうでもいいよ",せいあい,"同性愛を扱った三連作。
一首目は男性同性愛で、喉仏のアダムの林檎から発想。
二種目は女性同性愛で、人間の始まりは男女ではなくアンドロギュノスと言う一つの球体であったという話から発想。
三種目は同性愛異性愛関わらず｢君｣とならなんだっていいと言う思いを詠みました。",3,,,"Sep 8, 2025 6:02 pm",https://twitter.com/iFb77WoIcv87418,青海波,
"壁の中鼠むぐめく音聞けばSAN値危ふし秋の夕暮れ
名状のしがたきものの這ひ寄りてわが脳髄に満つる混沌
飛び降りてこの狂気より逃れむと思ひ歩めど窓に！窓に！",冒涜語七七,,3,,,"Aug 15, 2025 11:20 pm",https://twitter.com/RCodome,汐留ライス,
"追い出さんばかりに掃除機をかける店員さんにさよならを言う

おにぎりのゴミで満たされた袋にあの子の顔を重ね見る夜

パソコンをカタカタ鳴らすこの人を横目に課金ボタンを押した",令和八年のイートイン,,3,,,"Aug 28, 2025 8:00 pm",https://twitter.com/short_poem0505,あだむ,
"「手すりから身を乗り出すと危険です」たぶん誰かの祈りのことば
やなことを蹴飛ばしている夕暮れのブランコあした天気になあれ
元気でね元気でねって言い合って人の願いでくるまれる日々",祈りのことば,,3,,,"Sep 8, 2025 9:52 am",https://twitter.com/rebelxduck,木ノ宮むじな,
"両耳が塞がったように聞こえない　深く潜った海　泡　心音
遠くから波と遊んでいる人を見ている　肌が火傷のように
カタル性口内炎の大宇宙どうやら孤独になれないみたい",炎症反応,,3,,,"Aug 20, 2025 12:21 pm",https://twitter.com/osorakukajin,奈路 侃,
"アボカドは吟味するもの 最後まで負けてくやしいはないちもんめ
チケットの当選通知 養分としてのわたしは選ばれもする
あなたにも役割があるコンビニのレジでふくろを3円で買う",ふくろ、ください,,3,,,"Sep 7, 2025 5:48 pm",https://twitter.com/rebelxduck,木ノ宮むじな,
"「きれいでしょ」青く染まった指先の海を眺める友の病室

花の名を戒名にした位牌からこぼれおちゆく秋桜となり

「そちらでは満開ですか」秋空を見上げて君にそっとたずねる",秋桜となる,はやくして亡くなった友へ,3,,,"Sep 7, 2025 12:46 pm",https://twitter.com/hiyorin0224,春ひより,
"晴れますか？ 薄曇の空を一瞥 やや重い頭で予報を
ペトリコール 次第に大きくなる歩幅 いつもより遅い電車
雨の音 夜の社内で打つDelete 薄いコーヒー飲みかけのまま",ある日,主人公は会社員です。起きて電車に乗って会社に行くなんでもない日常。天気の流れにそって作ってみました。雨の降る直前や降り始めの独特な匂いをペトリコールというそうです。,3,,,"Sep 1, 2025 8:39 pm",https://twitter.com/91com,棚果輪,
"アボカドは果物になり苺には野菜になってもらう都合上
いや、これはコメディなんだ、そのうちにわかる、時代は変わるはずだし
eスポーツのように短歌もスポーツに分類される日が来るかもね",カテゴリー,,3,,,"Sep 5, 2025 5:39 pm",https://twitter.com/l0vemash,真朱,
"この星の最期に似合う曲ばかり歌う光属性の友

一等星みたいな声に目を細め氷まみれのコーラを啜る

何一つ共感できない歌詞だけどカラオケルームは目映さに満ち",光属性,,3,,,"Sep 8, 2025 10:22 pm",https://twitter.com/_akino_tsuki_,あきの　つき,
"指先をかざした空の冬の部屋ゆらりと映る滲んだ炎
目を閉じて記憶を伝い思い出す積もった雪に崩れる背中
カーテンの向こうで鳴いた何度目のすずめの声か吐息は白く",冬と命,,3,,,"Aug 30, 2025 5:35 pm",https://twitter.com/Amamiyaamaki,雨宮雨霧,
"ぬばたまのあなたの浮かれカチューシャについてる耳に小声で××× 
異世界の月を数えてしろたへの余白はブルーライトカットされゆく
たまきはるサブリミナルの夢に舞う蝶とのピロートークあまやか",現代短歌枕詞試用案,,3,,,"Sep 8, 2025 5:51 pm",https://twitter.com/ttmx6,畳川鷺々,
"心臓が透けて明るい音色から生まれて脈打ってプレパラート

うすい殻ただしいリズムで水を吸い吐き出し保つただしい世界

un, deux, trois ３度ステッキで叩けば内と外とが翻ります",細胞膜のただしさ,初音ミクの心筋細胞を造り出すインスタレーション作品を観た記憶を短歌にしました。,3,,,"Sep 8, 2025 12:23 pm",https://twitter.com/Itsuki_Mao,しみず,
"先生と呼ばれるたびに先生の顔になりゆく月曜の朝

気を抜けばふらつく胴に括られた先生という柔らかな縄

正しさの形はみんなそれぞれで子らの命は陽光の色",せんせい,,3,,,"Sep 8, 2025 10:17 pm",https://twitter.com/_akino_tsuki_,あきの　つき,
"くたくたの作業着にみなエプロンしカレーうどんを食べる金曜

そりゃそうだカレーうどんは服だけでなく無防備な眼鏡にも飛ぶ

来週のカレーうどんは安全のためにゴーグルつけて食べよう",金曜のカレーうどん,,3,,,"Aug 22, 2025 9:50 pm",https://twitter.com/mizukawa_rei,水川怜,
"「尊厳」という意味らしい　向日葵も背筋を伸ばす夏　August
「帝王(カイザー)は帝王ならず」驚きも気温は下げぬ夏　August
猛暑日は紀元前にもあったろうトレヴィを想う夏　August",August,カイザー:「帝王切開Kaiserschnitt(独)」を意味する略語。,3,,,"Sep 1, 2025 11:30 am",https://twitter.com/tatsuyananasino,七篠龍也,
"ポッケから逃げ出たガムの包み紙すら晒し出す電器屋は白い
コンビニを見かけるたびに右折してまた振り出しのセブンイレブン
清いもの　半夜　銀行　ホームレス　鳴らない電話　帰りゆく君",帰宅未遂,,3,,,"Sep 8, 2025 11:19 pm",https://twitter.com/TEN_57577,てん,
"暑いよと言いつつ好きなＴシャツを出して私は夏の同僚
ミュールから金のペディキュア覗かせて歩く私は夏の友達
カラフルな天然氷を崩してる刹那私は夏の恋人",サマーホリック,,3,,,"Sep 4, 2025 7:12 pm",https://twitter.com/Linon_non,りのん,
"常温がからだにいいと知りつつも氷菓の山を舌にとかした

輪郭のすべては強くプリズムを飲みこむように氷の粒は

朝焼けか夕焼けなのか曖昧にながれる色に原色パンチ",原色パンチ,,3,,,"Sep 1, 2025 5:40 pm",https://twitter.com/moonnight_rain,月夜の雨,
"休日の1人ブランチいつもならシェアするはずのフルーツサンド
明日までの卵を茹でてマヨネーズ卵サンドを包む真夜中
幼き日ジャムとバターを塗り重ねロールサンドは料理1号",サンドイッチ,,3,,,"Sep 8, 2025 11:15 pm",https://twitter.com/RAGE0406,紅生姜天ひやむぎっ,
"さおりんのこと好きだった　さおりんはスナイパーが上手い浪人生
「sanbashi」と言った記憶のあかるさが降った小雨で浮かびあがるね
心臓と心臓の惑星がある　うんそう　人が光のすべて",ただいま,おねがいします,3,,,"Sep 2, 2025 12:41 pm",https://twitter.com/@umi915uta,海,
"深海魚が何か叫んでいる　きっと悲しいのかな可哀想だな
知らぬ間に立たされていた滑走路　飛べるなら飛びたいと思うよ
いたずらでナイフを刺し合えればいいね　森の中心には何もない
",森の中心には何もない,過去それぞれ1首ずつ公開した短歌を3首まとめて連作にしました。,3,,,"Sep 4, 2025 2:57 pm",https://twitter.com/kurage_pancake,金井水月,
"WOW WAR TONIGHTのWARを見て憤怒　戦争だけはクソ許せない

素数とは１とその数だけで割る寂しい数と知りキレている

「こんなに怒ってるんです」という怒りだけですべてを成立させている夜",怒りの素数,,3,,,"Sep 7, 2025 8:03 pm",https://twitter.com/nekoimu,松たかコンヌ,
"たぷたぷの湯船に沈没してもなおフリーズドライでカチカチの愛

告白も別れ話もインスタのDMだから体温がない

昨日までその嘘も好きだったのにイオンモールは広くて嫌い",カチカチの愛,,3,,,"Sep 7, 2025 6:35 am",https://twitter.com/3404_g_,稲井亮太,
"その家のいちばん端の小窓から外を見ている小柄な老婆


独居より同居の方が孤独だとそういうことも珍しくない


老人が老人になるさみしさよ息子の家でちんまりとして",同居老人,最近、同居を始められたお宅のお婆さんがいつも同じ窓から外を見ていらっしゃいます。ご主人を亡くされて息子さんのところにいらっしゃったようです。母親をそばに置いて息子さんは安心しているのでしょうか。お婆さんは幸せでしょうか。,3,,,"Sep 3, 2025 12:37 am",https://twitter.com/daigakuimo3717,山野たみ,
"なまへ入りガーゼケットを握りしめ七歳の子は涙をぬぐふ
よく眠る　おひな巻き　で検索しあなたをくるみし夜のあること
端がほつれ穴があいても午後九時にガーゼケットをかけて眠る子",ガーゼケット,娘が今も愛用しているガーゼケットについて詠みました。,3,,,"Sep 4, 2025 7:24 pm",https://twitter.com/hane_ao22,碧乃そら,
"忘れないことも断ることもできず1ポイントのカードが溜まる

横向きに破った端に縦向きの「開け」の文字だけ手の中にあり

「猫　好かれる」「猫　嫌われない」「猫　近づく」nを入力してサジェスト",ままならない,,3,,,"Aug 27, 2025 12:45 am",https://twitter.com/mukadeyakata,新井宗彦,
"ナツコイはもって三月《みつき》で終わるからちゃんと想ってちゃんと忘れる
きれいでしょクッキー缶にいっぱいに君への気持ち詰めて埋めるの
花を挿せば何でも花瓶蓋がないポットも君が忘れたマグも",夏を葬る,夏にはいろいろなことがありますが、終わったことはきちんと供養するといいのでは、と、かなり年齢が上がってから気付きました。,3,,,"Aug 30, 2025 1:43 am",https://twitter.com/Silbernekatze_,北乃銀猫,
"行列を見やりりくろーおじさんはいつでもいると買わないでいる
電車内551のある時は待てない人で匂い充満
お礼にはちょっと澄ました顔をしてみるく饅頭月化粧行く",お土産のある時ない時,,3,,,"Sep 3, 2025 10:03 pm",https://twitter.com/tanimanon258x,谷まのん,
"大切なものが増えれば増えるほどバリエーションの豊富な悪夢

幸せは奪い取れないできるのは一方的に壊すことだけ

戻りたい過去がないから仕方なく前に歩けば近くに未来",近くに未来,,3,,,"Sep 8, 2025 1:36 am",https://twitter.com/d23705,北野白熊,
"永遠の、終わり飛沫が舞っているオーロラの咲く夏がこわれる
銀色の弾丸を込め撃鉄にふれられるのは青空を飲む
伸びやかな肢体はやく水をください潤む時間途切れてしまう",おわらせて,,3,,,"Sep 8, 2025 8:12 pm",https://twitter.com/m_iya_o,水也,
"ご飯の前にスイカを食す子に諦め覚え
せめて汚さず食べてください

ご飯の前に熟睡した吾子に諸行無常と
唱えれば少しは救われる唐揚げ

ご飯の前にTVに夢中の子に消してを
三回唱え最後にリモコンを頂く",ご飯の前に,食事をしっかり摂って欲しいのに、子どもは食前に何か食べるまたはなにかを見続けることに、イラつきよりもユーモアを加えて昇華しようと思い詠みました。,3,,,"Aug 28, 2025 3:44 pm",https://twitter.com/FyOj742,フラ子,
"自らに値札をつけし慰謝料の果てに残れる白き身代
師の言葉刺して見えたる夕景の真（まこと）なるなば夢にゐしかな
はなよりも行李ひとつの嫁ゆゑに空手で往（ゆ）かん惜しむべくなき",離別,,3,,,"Sep 8, 2025 2:29 pm",https://twitter.com/mojinhono,藻塵ホノ,
"聞きながすTVSHOWで会ったことないひとたちに裁かれるひと
大食いのおおきな笑いがあかるくてこわい　ひかりの電源を消す
ご意見を表明してる蝉にいう　「おはよう」　これで許されている
",蝉裁判,,3,,,"Aug 29, 2025 9:41 pm",https://twitter.com/matsuqing,沙々キハム,
"スリーピングピル・スリーピングピル　唱えたらぱらぱらこぼれ落ちて星空

星空をのみこむ海はいくつかの浅い渦巻きまいて朝焼け

朝焼けのひかりの海の水底をおよぐ魚の尾びれゆらめく",眩暈,,3,,,"Sep 8, 2025 12:14 am",https://twitter.com/moonnight_rain,月夜の雨,
"星座にはぶら下がらずに君の胸借りて見上げた去年の花火
おそろいの寝巻きで行ったコンビニも9月中頃閉店みたい
にせもののビール片手に語る夜　あの夏からみな大人になった",真夏の夜の事,,3,,,"Sep 3, 2025 10:40 pm",https://twitter.com/MishinOga,大賀ミシン,
"この腕が届く場所まで茜空　人を信じていたい鈍色(にびいろ)
内側にみずみずしすぎる血が流れ真に光を受けるボデゴン
さみしさが本当に来るその前に好きな色だけ塗ってみようか",ENFJ-T,,3,,,"Sep 9, 2025 1:03 am",https://twitter.com/6r2Nh,納戸青,
"「走り続けろ」の約束　躓いて海に落ちる　身体が溶けゆく

青き本　渡した人の熱僅か　残る指先　堕ちてゆく一《いち》

深海で光に怯える　わたくしは　死さえ選べぬ　小さな石ころ",海に堕ちて,,3,,,"Sep 5, 2025 5:21 pm",https://twitter.com/yoshiharumichi,吉晴　路,
"誕生日ケーキを口にしたときにもうじき出荷されると気づく
天の川に沈みゆきつつ街灯を乱反射する蝉のなきがら
ただ歩く九月の夜風を浴びるのが好きな理由が擦り切れるまで",九月,,3,,,"Sep 8, 2025 1:01 pm",https://twitter.com/hakootokobook,白雨冬子,
"決勝のマウンド辺り　8月をこんなに暑くする熱源は
声援や楽器の音もなにもかも甲子園ごと太陽になる
10代の夏は読み取り専用で上書きなんてさせないつもり",熱源,,3,,,"Sep 4, 2025 4:52 pm",https://twitter.com/l0vemash,真朱,
"魚偏の魚になったらしいまだ鱗がよそよそしくて水底にいる
海に映る月が欠けてゆく満ちたもののさだめ尾びれが邪魔だ
いっそ海月がよかったのにこの月蝕をこの身に映して溶けてゆく",魚偏,,3,,,"Sep 9, 2025 1:56 am",https://twitter.com/zeronokamides,ゼロの紙,
"会いたいの言葉だけでも欲しかった陳腐of陳腐of陳腐か
別れよう最後にキスがしたいっていいから噛むな舌を噛むなよ
別れよう最後にキスがしたいっていいから噛むな舌を噛むなよ",,,3,,,"Aug 28, 2025 11:43 am",https://twitter.com/setozayucox,瀬戸ざゆこ,
"左手の方が得意なこともある涙を拭いて笑うときとか
あの人が繋いだ右手あの人が繋がなかったままの左手
もう会わない人のことを忘れながら耳を澄ませる開放弦に",開放弦,,3,,,"Sep 7, 2025 2:38 pm",https://twitter.com/shiromi_sh,軽井める,
"外国のとても体に悪そうなエナドリ飲んで今日もがんばる
だまされるなバブルの頃の社畜でも24時間は戦ってない
眠れないのはカフェインのせいだろう未来が怖いからではなくて",エナジーオーバーフロー,,3,,,"Sep 4, 2025 10:52 pm",https://twitter.com/RCodome,汐留ライス,
