content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
閃光の間に間に沈むかなしみを確かめている白い灯台,,,,"Sep 1, 2025 5:45 pm",https://twitter.com/spring_bird_gr,はるかぜ,
占いを信じる父と中卒の守衛バイトが見ない幽霊,,,,"Aug 20, 2025 8:16 am",https://twitter.com/3404_g_,稲井亮太,
"『お幸せに』
たった１行の返信で
永い哀しみの幕が下ろされた晩夏
","長年付き合っていたかたとお別れしました。
私からは便箋２枚にわたる手紙を出したのですが、
お相手からは、たった一言だけでした。
それはそれで悲しいものでした。

私の心の供養にでも、と詠みました。",,,"Sep 6, 2025 11:29 pm",https://twitter.com/browandfang,眉と牙,
「なんでなん？」ちくわの天ぷらじゅわじゅわにおつゆ吸ってて浮かんでこやん,,,,"Aug 16, 2025 10:02 am",https://twitter.com/kiroi_iorik,きいろい,
ついてから時間の経ったかなしみは抜けないんだね一緒に暮らす,,,,"Sep 2, 2025 5:54 pm",https://twitter.com/hakka_kinoko,ベーグル,
かなしみを例えて海とするならば水たまりぐらいだ、うん平気,,,,"Aug 29, 2025 3:03 pm",https://twitter.com/tanimanon258x,谷まのん,
"「代わりはいくらでもいる」のリフレイン　雨に溶けゆく　僕の亡骸
",,,,"Sep 4, 2025 8:39 am",https://twitter.com/yoshiharumichi,吉晴　路,
初恋の彼を泣かせた『ロッキー』を仏頂面で見つめる夫,,,,"Aug 28, 2025 11:09 pm",https://twitter.com/short_poem0505,あだむ,
この声はおそらく届くこともなく夜へと消える特急列車,,,,"Aug 24, 2025 8:47 pm",https://twitter.com/18necco18,宮緖かよ,
お互いの良かれがすれ違っていく靴ひも左右きついかゆるいか,,,,"Aug 28, 2025 12:57 am",https://twitter.com/mukadeyakata,新井宗彦,
駅前のスターバックスコーヒーで三年ぶりのソロクリスマス,,,,"Aug 28, 2025 10:51 pm",https://twitter.com/short_poem0505,あだむ,
夏休みがあることすらも忘れてたただただはたらくただただねむる,,,,"Sep 3, 2025 11:11 pm",https://twitter.com/saku_furui,古井　朔,
かなしみを乗り越えました賞としてこの夏だけは日焼けしてみる,,,,"Sep 7, 2025 11:30 pm",https://twitter.com/mi1s4am,横井のの,
"ねぇ中也
汚れちまった悲しみを
こじらせているのは
君だけじゃないよ
",,,,"Sep 4, 2025 7:11 pm",https://twitter.com/zeronokamides,ゼロの紙,
