content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
ささくれを切るためだけの鋏持ち今朝もスクランブル交差点,,,,"Sep 30, 2025 11:11 pm",https://x.com/aonosaku31,青野 朔,CC BY-NC-ND 4.0
かなしみは濡れたガーゼでトントンと叩いて落とす水性だから,,,,"Oct 1, 2025 9:13 pm",https://x.com/kitakitsune77,北狐,CC BY-NC-ND 4.0
咳止めのシロップみたいな恋でしたあなたの嘘が甘くてにがい,,,,"Sep 30, 2025 6:40 pm",https://x.com/morning__calm,朝凪たまご,CC BY-NC-ND 4.0
誰もいない砂浜に書くメッセージ　白波さんたら読まずに食べた,,,,"Oct 6, 2025 6:59 pm",https://x.com/mizuki_kizumi_,来住瑞貴,CC BY-NC-ND 4.0
さみしいね三人の日と書いて春　結局君は友達のまま,,,,"Oct 1, 2025 10:30 pm",https://x.com/tanankatoru,田仲トオル,CC BY-NC-ND 4.0
月食のふもとに不二の山ありて頂めざす灯り連なる,,,,"Oct 1, 2025 3:02 pm",https://x.com/takosan_kcr,たこの粥,CC BY-NC-ND 4.0
この星が乾いています　あたたかい涙とキスが欲しい夜です,,,,"Oct 1, 2025 5:57 am",https://x.com/OkadaDouitsu,岡田道一,CC BY-NC-ND 4.0
君だけのだし巻き卵にくるまれて心身症の落ち着く気配,実景です。作ってくれた人にどの調味料使ってだし巻き卵を作ったのか尋ねたら「え、なんかこう、適当に」とぼんやりとした答えが返ってきました。料理における適当、は、簡単には真似できませんから、その人にしか作れないだし巻き卵だと思っています。おしいかったです。,,,"Sep 30, 2025 11:12 pm",https://x.com/awoi_up20,あをい,CC BY-NC-ND 4.0
泡立てた洗顔フォームにダイブする今日の私をひとつ殺して,,,,"Sep 30, 2025 7:25 pm",https://x.com/hakka_kinoko,ベーグル,CC BY-NC-ND 4.0
この星の孤独をすべて引き受けて周回軌道にひまわりは咲く,ひまわりはただ地球の周りを巡る。,,,"Sep 30, 2025 8:31 pm",https://x.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
【（しょーもない）特技】ドラマや映画観て主人公より先に泣けます！,,,,"Oct 1, 2025 9:14 pm",https://x.com/yoimane_57577,よいまね,CC BY-NC-ND 4.0
心にも借景があり双眸にすわれることのなき青鬼灯,,,,"Oct 6, 2025 3:17 pm",https://x.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
生殖を恋と言ってるナレーション　鳥をやめても翼はあるよ,,,,"Sep 30, 2025 11:18 pm",https://x.com/aonosaku31,青野 朔,CC BY-NC-ND 4.0
爪先からストッキングを剥ぎゆけば女をやめた血のあたたかさ,,,,"Oct 3, 2025 6:59 am",https://x.com/nonaga0303,のなが,CC BY-NC-ND 4.0
真夜中の独りの部屋に届く声52ヘルツは愛に似ていた,,,,"Oct 6, 2025 3:27 pm",https://x.com/Chiku_tanka,知久,CC BY-NC-ND 4.0
短歌とはちょっぴり切ない思い出を君と分け合い詠む物語,,,,"Sep 30, 2025 11:14 pm",https://x.com/irusousaku,アリタ別館,CC BY-NC-ND 4.0
「確率」が来たんだね、もう離さないで、ＵＦＯになって、ぎゅっとして、,,,,"Oct 1, 2025 10:36 am",https://x.com/Itsuki_Mao,しみず,CC BY-NC-ND 4.0
強がりも悲しくもないなぜ他人《ひと》は一人の夜を否定するの,,,,"Sep 30, 2025 9:20 pm",https://x.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
いつもなら秒針の音聞いている今日は特別貴方の寝息,,,,"Oct 1, 2025 8:54 am",https://x.com/kikyo_nakano,仲野キキョウ,CC BY-NC-ND 4.0
曲がり角 金木犀の香を咥えぶつかってきた秋、遅刻です,,,,"Oct 6, 2025 4:25 pm",https://x.com/Aiyu_Myoi,明井愛結,CC BY-NC-ND 4.0
悲しみの連鎖断ち切る方法はプリンを食べることに限るね,,,,"Sep 30, 2025 9:19 pm",https://x.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
昨日の涙と途切れた文字列寝落ちた君へ小さなあかりを,,,,"Sep 28, 2025 12:52 pm",https://x.com/suu_0421,すぅ,CC BY-NC-ND 4.0
ささくれが音符みたいにひっかかる本のよはくに詩をおいてみて,,,,"Oct 6, 2025 6:59 am",https://x.com/plympull,ぷりんぷる,CC BY-NC-ND 4.0
まばたきで切り取りながら溜め込んだフォルダもいっそ消えてしまえば,,,,"Sep 30, 2025 7:35 pm",https://x.com/nuttarifan,乃木ひかり,CC BY-NC-ND 4.0
掃除機のコードを赤まで引っ張ってもどらなくなったらそれが僕だよ,,,,"Sep 30, 2025 7:17 pm",https://x.com/huGaku17,huGaku,CC BY-NC-ND 4.0
無効印もらいにわざわざ有人の改札抜けるこれがご褒美,長距離出張のひとつの楽しみでしたが、有人改札自体減ってしまい、つまらなくなりました。,,,"Oct 2, 2025 8:30 pm",https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
チョコレートコスモス秩序に手を振って少しくらいは好きでもいいよ,,,,"Oct 2, 2025 12:54 am",https://x.com/yukikaze_3710,雪風みなと,CC BY-NC-ND 4.0
失くしてくこの先ずっとそれならさ消えたいなんておかしいのかな,,,,"Oct 2, 2025 11:51 pm",https://x.com/Rw2NOgtJoBEKcBY,舞風 奏-かなで-,CC BY-NC-ND 4.0
シマウマを憐れむ声のその口で肉を嚙み切る　鉄の味する,,,,"Oct 6, 2025 6:53 pm",https://x.com/mizuki_kizumi_,来住瑞貴,CC BY-NC-ND 4.0
ほうき星もしも近くを通るならわたしのとこに遊びにきてね,,,,"Oct 6, 2025 3:26 pm",https://x.com/Chiku_tanka,知久,CC BY-NC-ND 4.0
欠席を迷わず選ぶ様をみて君も痛みを持ってると知る,,,,"Oct 5, 2025 11:42 pm",https://x.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
さよならを言えたひと、言えなかったひと　彼岸花が一斉に手をふる,,,,"Oct 1, 2025 7:34 am",https://x.com/sinachiku_no_yo,萎竹,CC BY-NC-ND 4.0
看板は赤い文字から消えてゆき命令口調だけが残った,,,,"Oct 6, 2025 9:13 am",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
流行の流刑地めいた棚にいる期限の近いココナッツオイル,,,,"Oct 1, 2025 5:28 pm",https://x.com/mskpompomfuwa23,まさけ,CC BY-NC-ND 4.0
月ほどに慎ましやかな距離でいる時にわたしを照らすあなたは,,,,"Oct 3, 2025 8:49 pm",https://x.com/suimitudou16,睡密堂,CC BY-NC-ND 4.0
原本は大事にしてね複製で構わないから愛をください,,,,"Sep 30, 2025 10:39 pm",https://x.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
その闇を愛せよなんて言わないが剣とか盾にすれば強いよ,,,,"Oct 1, 2025 6:44 am",https://x.com/@hijyouguchi_dot,非常口ドット,CC BY-NC-ND 4.0
體と体 Hold me tight スケジュール ロマンティックを止めnight and day,,,,"Sep 26, 2025 5:55 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
