content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
胡蝶蘭を抱いた男が駅前のロータリーにてこぼした真白,,,,"Oct 31, 2025 10:57 pm",https://twitter.com/cotori_rin,琴里梨央,CC BY-NC-ND 4.0
輪廻にも流行り廃りがあるらしく今世のぼくはイケてないほう,,,,"Oct 26, 2025 7:27 pm",https://twitter.com/peak_0623,ﾎﾜｲﾄｱｽﾊﾟﾗ,CC BY-NC-ND 4.0
悔しさに強くペダルを踏んだ日よ　さようならもう登らない坂,現代歌人協会主催第54回全国短歌大会　小塩卓哉選　田村元選　佳作,,,"Oct 31, 2025 5:44 pm",https://twitter.com/tsubaki4321,椿泰文,CC BY-NC-ND 4.0
メモをしてあれこれカゴに入れていくあなたの好きなものをたくさん,,,,"Nov 2, 2025 1:03 am",https://twitter.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
あのひとと私の間の引力はどうなっているの、ねえ、りんご君？,「万有引力」ですから、お互いに引き合っているんでしょう？しかも私は質量が大きいので、その分引力も大きいと思うのですが。,,,"Oct 31, 2025 7:06 am",https://twitter.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
あの人が育った街に降り立ってぬるい空気を既に愛した,,,,"Nov 1, 2025 1:49 am",https://twitter.com/nashiorringo,にいたかりんご,CC BY-NC-ND 4.0
食物連鎖から外れたジャック・オー・ランタンにしかできない笑顔,,,,"Nov 1, 2025 12:26 am",https://twitter.com/awoi_up20,あをい,CC BY-NC-ND 4.0
どんぐりを拾っていたい願わくば春が来るまで眠っていたい,,,,"Nov 1, 2025 9:01 pm",https://twitter.com/yoimane_57577,よいまね,CC BY-NC-ND 4.0
灰色の海へと還る細い雨なんと優しく降る陸の果て,,,,"Nov 4, 2025 11:51 am",https://twitter.com/Chiku_tanka,知久,CC BY-NC-ND 4.0
貝殻を波が砕いてくれるでしょう磯場にうちを置いたヤドカリ,,,,"Oct 29, 2025 9:15 pm",https://twitter.com/MeFuchsia,綿鍋和智子,CC BY-NC-ND 4.0
衰退の街をふらふら散歩するあの建物は本屋だったな,人口の減少が止まらない街。書店は全国的に減少しているが、その街の「文化」まで衰退している感じがして寂しさが募ります。,,,"Nov 1, 2025 8:33 am",https://twitter.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
あなたへの最後の嘘だ携帯の画面に残る気泡のような,,,,"Nov 2, 2025 4:09 pm",https://twitter.com/Linon_non,りのん,CC BY-NC-ND 4.0
伽藍洞鞴の如し空白にモノやキモチや詰め込んだ、快,情景や風景などではなく、思想・哲学的な一首です。空白があることに、無があることに意味があり、なにも働いていないのではなく、なにかが働いているということ。空白がある故に物が詰め込めるという気付きを詠んでみました。,,,"Nov 2, 2025 6:45 pm",https://twitter.com/fromshino,篠崎彦斎,CC BY-NC-ND 4.0
フレンチにいくための靴がピカピカであなたの愛はやけに背伸びだ,,,,"Nov 4, 2025 9:44 pm",https://twitter.com/@Tamonokidesu,戸倉田面木,CC BY-NC-ND 4.0
