content,title,author_comment,eiso_count,editor_memo,dummy,create_datetime,author_url,author,license
"コスモスといえばウルトラマンだったアナタのせいで今は花だよ

皆ほどキンモクセイの香りなど思い出せない私が居るよ

品のない人でもゴミを捨てられぬ彼岸花が埋め尽くす野原

花言葉などまだ知らず折り紙でダリアを咲かす少女の瞳

当然のように桔梗と名付けられ桔梗のように生きている君

りんどうを踊らす阿蘇の鳴動が命の意味を訴えてくる

秋探ししましょうススキだけ辿り何処へ続くか確かめたいの",fallowers,,7,,,"Nov 4, 2025 11:48 pm",https://twitter.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
"ここはもうメルヘンの町そこここに猫をかたどる陶器あふれて
生活が息づく道を行き来する東の言葉そして異国語
煙突は空を突き刺し線香の煙たなびくように佇む
便器にも花鳥は咲いて藍色は古のまま冷たく深く
彩りの欠片を集めモザイクは季節を語る花束に似て
躓いた日々を焼成していつか飾れるほどの小品と成す
陽を受けて海遥かなり頑強なボートレースの看板の先",焼き物の町,,7,,,"Nov 3, 2025 6:34 pm",https://twitter.com/Linon_non,りのん,CC BY-NC-ND 4.0
"給料が周回遅れでやってくる　うしろを見ても君はどこにも

静けさのお昼休みにお隣の陽気なラジオが聞こえてくるよ

金色のあなたの髪が黒になり獣は越冬の準備をする

思惑が給与明細追い越せば脱出ゲームをはじめようか

疲れたろう、僕も疲れたよ　Hey Siri  僕の履歴書をつくってみて

時として閉塞感も種となる僕には歌があってよかった
",勤労ロードショー,倒産寸前の弊社ですが、僕には短歌があるので少し気は紛れてました。,6,,,"Nov 1, 2025 9:41 pm",https://twitter.com/kikura_ge,キクラゲ,CC BY-NC-ND 4.0
"SAY・社員　始業時間の前にやる朝礼参加…義務ですか？それ

SAY・社員　日常五心の唱和とか令和の今もやってるなんて

SAY・社員　有休制度が無いだとかちょっと労基に聞いてみますね

生・社員　見えていますか？生きてます私はロボットではありません

静・社員　籠もるトイレで電気消え暗転しても場面変わらず

青・社員　ブラック企業に３年もいる価値無いよ命が大事

星・社員　見上げた夜空に光るからあなたはそれにならなくていい",SAY・社員,,7,,,"Oct 30, 2025 8:23 pm",https://twitter.com/yoimane_57577,よいまね,CC BY-NC-ND 4.0
"隙間風で目覚める朝よそろそろと寝床から出れば晩秋の空

クセツヨな常連達とモーニング皆でがっつくいつものメニュー

いつもの道いつもの角いつもの信号いつもの場所にいつものあの子

見るからに偉い人の愚痴を聞く聞いてるふりして昼寝の続き

足早に帰る人ひとヒトの波隙間から見える夕暮れの赤

明星は既に明るく野良猫は歓楽街の暗闇に消えた",晩秋の一日,,6,,,"Oct 30, 2025 1:20 pm",https://twitter.com/rara_wcat_tanka,アサコル,CC BY-NC-ND 4.0
"足元に溜まり続ける水がある傘を差しても道は濡れてる
呼び声は絶えて久しい隠されたことばはすでに見えなくなって
袋から出せないままの積ん読はまた軋ませる自室の床を
焼ける砂炎帝《えんてい》海も遠ければ表紙の青に焦がされている
はるかなることばの海にささやきはまぎれてしまうそれだけのこと
防犯によいと聞きつつ開く傘上がり框《かまち》に当たる水滴
スーザンは泣いたのだろう忘れてもひとり残されゆるされずとも
こめかみの奥の手前で渦を巻くことば以前の無形《むけい》なるもの
床に落ち目を閉じている無様だがこれは負けないためのポーズだ
過ぎ去った時の裾ぎゅっと握る子がずっと見てくるずっと手を振る",スーザン,タイトルおよび7首目の「スーザン」は、『ナルニア国物語』の登場人物を想定していました。彼女のことが当時からずっと好きだったので、ずっとあの結末が胸に残っています。,10,,,"Oct 26, 2025 4:19 pm",https://twitter.com/tenran_harugiri,せんぱい,CC BY-NC-ND 4.0
"嘘つきの落ちる地獄をもう二度と飲まないやつらが満員にする
肝機能障害こわいガンマとかホラー用語を急に言うなよ
仕方なく酒を注ぐのだじゃんけんぽんアセトアルデヒドのいうとおり
とばす用記憶媒体ワタクシに説明書とか入ってました？
前回の酒が何点だったのか採点結果をキンミヤに聞く
締めくくる赤星ラガーお祈りをしようよハッピーアルカホリック！
",ハッピーアルカホリック,,6,,,"Nov 2, 2025 10:41 pm",https://twitter.com/matsuqing,沙々キハム,CC BY-NC-ND 4.0
"何気なく放った言葉運悪く入ってしまうホールインワン
引き返すことも怖くて溺れてるクイックターンできないでいる
手も足も全く出ないじたばたと動く弾みで取られるハンド
当ててくれデッドボールで出塁をできたらすごくラッキーなのに
アタックがネットに当たり落下する抜け出せるのか包囲網でも
スクラムを組める仲間がいないので孤独に震え一人戦う
粘れてもうまく実力伴わず延長戦で負ける一本
大量の点を取られてラブゲーム少しでいいの愛をください
長距離をスタートダッシュで離される心が折れるそれでも走る
キス・アンド・クライで泣いてばかりいる社会の中で滑り転げる",キス・アンド・クライ,,10,,,"Oct 26, 2025 8:59 pm",https://twitter.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
"金曜日十三時に決まる入院　吾子の右手に点滴の入る
努力して呼吸してゐる子の胸の懸命さ　ただ祈るやうに撫づ
吾子は血を採られて戻るうーたんが誇らしく笑む絆創膏、まる
点滴は雨垂れの音　深夜二時きみのしづかな眠りを｜目守《まも》る
左手で食べられるやうになつたよとスプーン使ふ　今日が退院",緊急入院,昨年、子供がマイコプラズマによる気管支炎で入院したときのことを詠んでいます。,5,,,"Oct 27, 2025 3:48 pm",https://twitter.com/hane_ao22,碧乃そら,CC BY-NC-ND 4.0
"おだやかに微笑むひとの錆びついた球体関節きしきしと鳴る
昏い予感 重油のような夜が来ていつかあなたを捉えるだろう
老いていくことは哀しい一人旅ならば夕暮れあまりに赤い
天窓の燃えれば不意に甦る取り残された子どもの顔が
尊厳と恐怖のあわい強がりの脚で壊していくシャボン玉
指先を零れて落ちる砂をただ見ている きみは泣いているのか
喉奥の花は偽物かみさまは小春の綿毛めく無責任
それでも祈るあなたがいつか夕暮れに途方に暮れてしまわぬように
できるだけ明るい声でうたうから明日の街へ届いたらいい",明日の街へ,,9,,,"Nov 2, 2025 10:00 am",https://twitter.com/zukki04651,星谷麦,CC BY-NC-ND 4.0
"改札を通った音で背を正す 僕らもうすぐロボットになる
息をする様にアヒージョだす君は一緒にザリガニ食べてた君だ
真夜中のメロンソーダの場違いで喧嘩別れが有耶無耶になる
君の言う ありがとう って業界のお疲れ様ですより味がない
早朝のスーツで埋まる乗換の運河 海には続いてないけど
あの鳥は俺より働いているからにんべん以外の漢字が欲しい
あぁこれは多分自死への誘惑に負けそうだからセフレを呼ぼう
ペヤングの音だけ響き僕だけが一番生きてない気がします
ちくしょう と声に出してる人がいて まだ東京は憧れの街
本を売りビールを飲んで 夕暮れに帰る 俺今付けたい「fin.」て",街,,10,,,"Oct 14, 2025 8:27 am",https://twitter.com/umberhemp,麻数,CC BY-NC-ND 4.0
"午後3時シロノワールのクリームときみの言葉のなんとなめらか
白黒は曖昧にしてやってきたいまさらパンダを返せだなんて
大谷がすべてを持って行った日に別れ話をしている僕ら
因数に分解されて同じではないとこばかり際立っていく
飲み込んだ本音はいつも胃で溶けてうんことなって水に流れる
ふたつあるもので暮らしはできている給料だとか笑い声とか
セパレートするべきなのか分からない ここは出すよと口が勝手に
繋がりがなければただのひとつ星フォーマルハウト光れ光れ光れ
変わらないものなどなくて公転をレボリューションと英語では言う",なめらかセパレート,,9,,,"Nov 3, 2025 11:26 pm",https://twitter.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
