content,author_comment,editor_memo,create_datetime,content_url,author_url,author,license
我が恋で 絶えず身体も showしたい《焼死体》 白い骨を印鑑にするわ,――「私死んでもいいわ」,,2025-07-19 02:39:32,https://x.com/tonomozukasa/status/1946263580208504951,https://x.com/tonomozukasa,とのもづかさ,CC BY-NC-ND 4.0
「もう食べれないよう、法的に」ってきみが寝言で言うから不安がつのる,笹井賞の追い込みとその間サボってたお題の回収に追われた週でした,,2025-07-18 23:58:05,https://x.com/RCodome/status/1946222951680057679,https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
ありんこをじっとながめた一日は今よりとても長い一日,『蟻』,,2025-07-18 17:35:38,https://x.com/sorapoky/status/1946126705342734528,https://x.com/sorapoky,山口絢子,CC BY-NC-ND 4.0
飛び降りて死ねない階ほど安いのは何故なんですかカール・マルクス,,,2025-07-17 22:12:12,https://x.com/Yuma_Yuma____/status/1945833916298051944,https://x.com/Yuma_Yuma____,有馬由真,CC BY-NC-ND 4.0
輪郭をスペアミントに縁取られくぐもるハルが発音される,,,2025-07-17 22:10:42,https://x.com/Yuma_Yuma____/status/1945833540823978428,https://x.com/Yuma_Yuma____,有馬由真,CC BY-NC-ND 4.0
ぽしゅぽしゅを使っていこう僕たちがスフレパンケーキを食べる時,,,2025-07-17 22:09:44,https://x.com/Yuma_Yuma____/status/1945833297688588366,https://x.com/Yuma_Yuma____,有馬由真,CC BY-NC-ND 4.0
おもむろにペンを取り出すもんだからわたし生命線をかくしたの,,,2025-07-13 20:28:04,https://x.com/setsuumi/status/1944358158853460188,https://x.com/setsuumi,セツウミ,CC BY-NC-ND 4.0
手練れだな耳を澄ませて記憶するスタバのカスタム注文スキル,,,2025-07-13 14:29:16,https://x.com/91com/status/1944267866720940263,https://x.com/91com,棚果,CC BY-NC-ND 4.0
恋人を笑顔で送りそのあとにそいつは猫背に戻って歩く,,,2025-07-13 12:51:12,https://x.com/Chiku_tanka/status/1944243185263477098,https://x.com/Chiku_tanka,知久,CC BY-NC-ND 4.0
通り雨過ぎ去りし後アスファルトから立ち上る甘い死の匂い,,,2025-07-13 12:19:20,https://x.com/MishinOga/status/1944235166861533484,https://x.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
キャッチーで トキメキでできた コーティング その色眼鏡は 安堵のシュガーグレイス,,,2025-07-13 12:00:23,https://x.com/niiimiyu/status/1944230397451415949,https://x.com/niiimiyu,仁井 海夢,CC BY-NC-ND 4.0
秋雨の日、憧れていた霜降風味のアイスケーキは冷たい,秋生まれです。アイスケーキに憧れはあるけど随分難しかったという記憶。,,2025-07-13 09:49:23,https://x.com/AiYotuba8201/status/1944197430482022734,https://x.com/AiYotuba8201,藍楚,CC BY-NC-ND 4.0
寝転んで低め真っ直ぐとサイン出す首を振り続ける扇風機,,,2025-07-13 00:51:19,https://x.com/mukadeyakata/status/1944062020070088891,https://x.com/mukadeyakata,新井宗彦,CC BY-NC-ND 4.0
片側が凹んだベッドの裏側で埃だらけの下着を拾う,笹井宏之賞用の50首、詠み終わりました。,,2025-07-12 21:45:46,https://x.com/short_poem0505/status/1944015325927985283,https://x.com/short_poem0505,あだむ,CC BY-NC-ND 4.0
雨なんて降って無いのにいつだってビニール傘越しみたいなあなた,,,2025-07-12 21:32:55,https://x.com/kokorofukafuka/status/1944012093336039834,https://x.com/kokorofukafuka,sapio ◇,CC BY-NC-ND 4.0
真夜中に手紙を書くと壮大な告白になる覚悟して書け,,,2025-07-12 20:10:26,https://x.com/Silbernekatze_/status/1943991335163170992,https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
ごめんとかありがとうとか寝言なら言えるんだろうか隣に居てよ,わやの名で詠んだものです。,,2025-07-12 20:02:56,https://x.com/tenmeiwoshiru1/status/1943989446309032343,https://x.com/tenmeiwoshiru1,ぺぺいん,CC BY-NC-ND 4.0
つつかれて渡してしまった分度器はせかいを半分だけは知ってる,,,2025-07-12 17:55:46,https://x.com/kiroi_iorik/status/1943957445631709417,https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
"今日もまたいいことなんてなかったと
猫背で歩く前など見ずに",,,2025-07-12 15:04:53,https://x.com/Precure_Yoisho/status/1943914440552067182,https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
足早の食品食べるＢＢＱ　以前はもっと足早の馬,食品ロスと食中毒には気を付けて,,2025-07-12 14:09:08,https://x.com/AsuranAberu0001/status/1943900412727493060,https://x.com/AsuranAberu0001,春風いざな,CC BY-NC-ND 4.0
"商品になれないからさ愛せない
金にならない私要らない",,,2025-07-11 18:43:53,https://x.com/Rw2N0gtJoBEKcBY/status/1943607166952493219,https://x.com/Rw2N0gtJoBEKcBY,舞風 奏-かなで-,CC BY-NC-ND 4.0
